year-month,total precipitation (mm),mean temperature (°C)
1914-10,124.0,8.7
1914-11,57.9,3.8
1914-12,28.4,3.6
1915-01,99.3,0.6
1915-02,44.2,1.6
1915-03,120.5,3.0
1915-04,73.4,6.7
1915-05,73.7,15.0
1915-06,76.6,17.9
1915-07,196.9,16.4
1915-08,140.9,15.4
1915-09,150.7,11.7
1915-10,21.7,6.7
1915-11,24.1,1.8
1915-12,66.9,4.5
1916-01,88.9,2.0
1916-02,94.2,3.6
1916-03,70.2,6.0
1916-04,113.5,8.5
1916-05,74.3,13.7
1916-06,117.4,13.6
1916-07,114.0,16.3
1916-08,113.0,16.1
1916-09,114.4,11.5
1916-10,151.4,8.6
1916-11,90.3,5.2
1916-12,128.0,2.5
1917-01,55.0,-0.8
1917-02,18.0,-1.1
1917-03,58.5,3.1
1917-04,134.1,5.2
1917-05,58.4,16.1
1917-06,115.4,17.6
1917-07,147.1,17.0
1917-08,122.0,16.2
1917-09,49.7,14.8
1917-10,244.3,6.8
1917-11,96.9,2.6
1917-12,29.6,-2.3
1918-01,65.2,0.8
1918-02,36.3,0.7
1918-03,84.6,4.9
1918-04,62.9,9.6
1918-05,52.8,13.8
1918-06,204.8,13.5
1918-07,53.7,17.4
1918-08,140.8,16.2
1918-09,148.0,13.3
1918-10,45.5,7.5
1918-11,51.1,4.6
1918-12,287.3,2.5
1919-01,93.2,1.1
1919-02,63.3,0.4
1919-03,85.0,5.0
1919-04,127.1,5.3
1919-05,76.2,11.7
1919-06,77.7,15.8
1919-07,69.6,14.4
1919-08,27.9,18.1
1919-09,32.5,15.0
1919-10,31.3,5.8
1919-11,132.5,2.9
1919-12,214.8,0.7
1920-01,87.7,2.8
1920-02,25.7,3.2
1920-03,47.0,7.0
1920-04,80.5,9.4
1920-05,81.8,15.1
1920-06,52.6,15.4
1920-07,76.4,17.2
1920-08,70.1,15.2
1920-09,91.1,13.8
1920-10,3.5,9.2
1920-11,6.5,3.7
1920-12,38.9,0.5
1921-01,47.4,3.5
1921-02,17.7,1.2
1921-03,35.9,6.1
1921-04,48.8,7.8
1921-05,44.9,13.9
1921-06,148.8,15.9
1921-07,33.7,19.8
1921-08,134.0,17.7
1921-09,74.3,14.6
1921-10,35.0,10.0
1921-11,106.4,1.6
1921-12,49.2,1.2
1922-01,174.3,-0.6
1922-02,69.9,1.3
1922-03,73.0,4.9
1922-04,151.1,6.9
1922-05,38.5,14.5
1922-06,138.9,16.5
1922-07,148.6,16.0
1922-08,177.4,16.5
1922-09,179.4,11.0
1922-10,83.3,7.5
1922-11,130.6,2.2
1922-12,109.2,0.2
1923-01,63.2,-0.6
1923-02,74.6,3.3
1923-03,19.3,5.6
1923-04,75.8,8.6
1923-05,119.0,12.6
1923-06,92.9,12.4
1923-07,93.6,19.5
1923-08,165.0,17.5
1923-09,82.5,13.3
1923-10,86.3,10.9
1923-11,91.7,4.2
1923-12,165.3,1.1
1924-01,36.9,-1.5
1924-02,40.6,-0.7
1924-03,14.6,4.5
1924-04,89.6,8.6
1924-05,169.4,13.6
1924-06,160.4,15.4
1924-07,144.7,17.2
1924-08,196.6,13.6
1924-09,102.4,13.5
1924-10,77.5,8.9
1924-11,20.6,4.7
1924-12,43.8,0.7
1925-01,34.7,1.2
1925-02,89.8,3.7
1925-03,45.2,1.8
1925-04,71.7,8.7
1925-05,81.3,12.9
1925-06,80.8,16.4
1925-07,98.3,17.2
1925-08,170.3,16.1
1925-09,142.9,11.6
1925-10,43.5,9.4
1925-11,56.5,3.0
1925-12,91.0,0.6
