date,total summer precipitation (mm),mean summer temperature (°C)
1915-05-01,638.8,15.3
1916-05-01,533.1,14.3
1917-05-01,492.6,16.3
1918-05-01,600.1,14.9
1919-05-01,283.9,15.0
1920-05-01,372.0,15.3
1921-05-01,435.7,16.4
1922-05-01,682.8,14.9
1923-05-01,553.0,15.1
1924-05-01,773.5,14.7
1925-05-01,573.6,14.9
1926-05-01,636.9,14.7
1927-05-01,729.0,15.5
1928-05-01,568.2,15.8
1929-05-01,436.6,16.3
1930-05-01,694.6,15.7
1931-05-01,570.1,15.1
1932-05-01,545.9,16.1
1933-05-01,802.9,14.9
1934-05-01,606.4,16.0
1935-05-01,520.0,15.6
1936-05-01,630.5,15.0
1937-05-01,649.4,15.8
1938-05-01,605.7,15.3
1939-05-01,627.8,14.5
1940-05-01,724.7,14.6
1941-05-01,541.4,14.9
1942-05-01,559.0,16.0
1943-05-01,494.1,16.1
1944-05-01,455.7,15.7
1945-05-01,681.8,16.4
1946-05-01,585.5,15.7
1947-05-01,425.4,17.5
1948-05-01,604.5,15.0
1949-05-01,433.8,16.2
1950-05-01,547.8,16.7
1951-05-01,533.5,15.4
1952-05-01,467.1,16.2
1953-05-01,568.2,15.7
1954-05-01,705.0,14.4
1955-05-01,638.3,14.6
1956-05-01,676.3,14.6
1957-05-01,643.5,14.2
1958-05-01,544.9,15.9
1959-05-01,433.4,16.1
1960-05-01,745.0,15.1
1961-05-01,590.0,15.6
1962-05-01,463.1,15.0
1963-05-01,501.6,15.1
1964-05-01,497.3,16.5
1965-05-01,813.8,14.5
1966-05-01,563.3,15.2
1967-05-01,531.9,15.6
1968-05-01,694.3,14.7
1969-05-01,681.4,15.3
1970-05-01,605.0,15.3
1971-05-01,549.9,15.7
1972-05-01,526.6,13.9
1973-05-01,590.5,16.0
1974-05-01,522.9,14.9
1975-05-01,584.9,15.5
1976-05-01,564.5,15.5
1977-05-01,489.6,14.6
1978-05-01,652.9,14.1
1979-05-01,558.8,14.6
1980-05-01,520.4,14.1
1981-05-01,712.8,15.1
1982-05-01,541.2,16.3
1983-05-01,546.1,16.4
1984-05-01,654.2,14.6
1985-05-01,578.3,15.7
1986-05-01,562.8,15.9
1987-05-01,777.4,15.0
1988-05-01,470.2,16.2
1989-05-01,550.8,15.7
1990-05-01,511.5,15.9
1991-05-01,644.0,16.0
1992-05-01,492.8,17.0
1993-05-01,705.7,16.0
1994-05-01,699.5,17.1
1995-05-01,688.8,15.5
1996-05-01,682.2,15.1
1997-05-01,635.1,16.1
1998-05-01,607.0,16.8
1999-05-01,717.7,16.9
2000-05-01,596.1,16.9
2001-05-01,670.2,16.1
2002-05-01,961.2,16.4
2003-05-01,397.2,18.9
2004-05-01,697.8,15.9
2005-05-01,684.5,16.6
2006-05-01,741.7,17.0
2007-05-01,825.0,16.0
2008-05-01,614.4,16.6
2009-05-01,614.9,17.4
2010-05-01,867.2,16.0
2011-05-01,596.4,17.1
2012-05-01,643.7,17.0
2013-05-01,649.0,16.3
2014-05-01,729.0,16.2
2015-05-01,479.4,17.6
2016-05-01,730.5,16.9
2017-05-01,633.8,17.3
2018-05-01,459.1,18.1
2019-05-01,484.5,17.0
2020-05-01,701.1,17.0
2021-05-01,772.7,16.4
2022-05-01,585.7,18.2
2023-05-01,622.9,18.1
2024-05-01,605.2,17.6
2025-05-01,824.3,17.4
