total precipitation (mm),mean hy temperature (°C),date
945.1,2.3,1914-10-01
1048.3,2.2,1915-10-01
988.9,2.2,1916-10-01
825.3,1.8,1917-10-01
953.5,2.0,1918-10-01
1262.1,2.4,1919-10-01
653.2,3.2,1920-10-01
1079.2,2.2,1921-10-01
866.4,2.0,1922-10-01
1146.4,1.9,1923-10-01
713.7,2.5,1924-10-01
1023.7,2.5,1925-10-01
1147.5,2.7,1926-10-01
919.4,3.2,1927-10-01
906.6,1.9,1928-10-01
918.9,3.2,1929-10-01
1132.3,1.9,1930-10-01
805.3,2.1,1931-10-01
895.6,2.4,1932-10-01
929.7,2.6,1933-10-01
1127.7,2.2,1934-10-01
1079.7,2.8,1935-10-01
1089.0,2.4,1936-10-01
875.9,2.0,1937-10-01
901.1,2.5,1938-10-01
1181.4,1.8,1939-10-01
836.0,1.5,1940-10-01
889.8,2.0,1941-10-01
957.8,3.2,1942-10-01
839.0,2.3,1943-10-01
1134.4,2.3,1944-10-01
974.7,2.9,1945-10-01
818.9,3.3,1946-10-01
1234.0,3.1,1947-10-01
734.3,3.3,1948-10-01
1017.3,3.3,1949-10-01
1074.1,2.3,1950-10-01
914.5,3.0,1951-10-01
1018.4,1.8,1952-10-01
1093.4,2.3,1953-10-01
1059.6,2.2,1954-10-01
948.2,1.5,1955-10-01
941.7,2.4,1956-10-01
919.9,2.8,1957-10-01
728.0,3.2,1958-10-01
1073.5,2.8,1959-10-01
892.6,3.4,1960-10-01
832.1,2.3,1961-10-01
898.4,1.6,1962-10-01
715.2,3.2,1963-10-01
1184.8,1.6,1964-10-01
1116.4,2.7,1965-10-01
1102.3,2.6,1966-10-01
1041.4,2.6,1967-10-01
894.5,3.1,1968-10-01
1141.0,2.2,1969-10-01
816.6,2.9,1970-10-01
701.4,3.1,1971-10-01
923.2,2.8,1972-10-01
1132.8,2.9,1973-10-01
1068.6,2.7,1974-10-01
912.9,2.8,1975-10-01
1126.2,2.9,1976-10-01
1069.9,2.6,1977-10-01
1055.4,2.7,1978-10-01
1126.0,2.7,1979-10-01
1202.1,2.6,1980-10-01
1136.1,2.9,1981-10-01
1085.9,3.4,1982-10-01
971.1,2.0,1983-10-01
940.7,3.1,1984-10-01
895.6,2.9,1985-10-01
1233.6,2.8,1986-10-01
1008.8,3.8,1987-10-01
824.4,4.0,1988-10-01
972.7,4.2,1989-10-01
754.6,3.3,1990-10-01
973.6,3.6,1991-10-01
1017.5,3.6,1992-10-01
1181.5,4.0,1993-10-01
1138.2,3.6,1994-10-01
811.0,3.3,1995-10-01
1061.5,4.0,1996-10-01
919.4,4.1,1997-10-01
1353.7,3.3,1998-10-01
1170.9,3.6,1999-10-01
1344.4,4.0,2000-10-01
1016.5,4.0,2001-10-01
944.3,4.6,2002-10-01
1057.0,3.4,2003-10-01
851.0,3.4,2004-10-01
809.5,3.5,2005-10-01
960.8,5.1,2006-10-01
1103.9,3.5,2007-10-01
967.8,3.8,2008-10-01
1037.9,3.0,2009-10-01
945.0,4.1,2010-10-01
1269.2,4.1,2011-10-01
953.6,3.7,2012-10-01
1031.9,4.4,2013-10-01
987.3,4.9,2014-10-01
1161.1,4.7,2015-10-01
1061.3,4.6,2016-10-01
998.3,4.5,2017-10-01
1300.3,4.5,2018-10-01
1167.6,5.1,2019-10-01
989.6,3.9,2020-10-01
810.9,4.8,2021-10-01
974.3,5.4,2022-10-01
1269.0,5.5,2023-10-01
952.4,5.4,2024-10-01
