precipitation (mm),temperature (°C)
73.9,3.2
42.1,-2.6
21.7,-3.4
101.3,-7.1
40.8,-5.4
82.2,-3.1
35.4,0.6
88.0,8.7
86.4,10.9
192.9,10.3
72.8,9.0
107.6,6.2
5.4,1.1
46.2,-4.2
52.2,-1.3
116.8,-4.6
106.3,-4.5
68.3,-1.1
57.8,1.8
43.1,6.7
212.9,7.1
118.6,10.1
135.5,9.8
85.2,5.5
103.7,2.7
83.9,-1.7
114.8,-3.9
69.4,-8.6
7.6,-7.4
22.6,-3.8
81.9,-2.0
60.9,8.5
72.5,11.1
130.6,11.0
194.5,10.1
46.5,9.7
138.4,0.6
42.3,-3.2
32.1,-8.7
31.9,-5.5
35.7,-5.3
36.3,-2.1
51.5,2.5
18.2,7.5
118.0,6.7
80.1,10.6
110.5,9.8
130.3,8.3
49.5,2.3
23.6,-1.2
227.2,-3.4
41.6,-6.9
40.5,-6.6
31.5,-2.6
91.4,-0.8
61.4,4.3
125.2,8.9
138.6,7.8
65.5,12.0
57.5,9.1
46.3,-0.5
113.3,-4.1
155.6,-5.5
131.2,-3.6
26.9,-4.2
48.2,-0.6
65.1,2.1
102.4,8.7
75.7,9.0
210.8,10.7
82.7,8.7
203.9,7.7
2.3,4.4
0.4,0.0
27.3,-5.1
107.6,-3.1
7.3,-6.3
17.1,-1.2
62.1,0.5
80.2,7.7
138.5,8.7
44.8,12.6
93.8,10.7
71.8,9.3
43.8,5.5
61.4,-3.6
29.1,-4.1
157.1,-7.3
60.3,-5.0
50.6,-1.2
69.5,0.2
60.7,7.1
121.5,9.5
191.2,9.3
104.3,10.5
129.7,5.2
64.3,2.6
99.2,-4.4
96.2,-6.2
53.4,-7.1
62.0,-3.3
12.8,-2.1
54.0,1.4
72.6,6.4
88.4,5.4
77.0,12.9
96.2,11.6
90.3,6.7
87.6,4.9
53.8,-1.0
179.6,-6.1
26.4,-7.7
50.2,-8.2
7.2,-2.8
61.0,1.6
84.1,7.2
180.2,8.6
164.8,10.8
157.7,7.6
93.8,7.7
31.0,3.8
5.3,-0.3
24.9,-4.4
18.5,-4.1
55.1,-4.0
29.9,-4.9
51.7,1.6
35.7,6.5
50.7,10.0
129.5,10.2
215.0,9.7
66.4,5.2
29.8,3.8
38.4,-2.4
89.0,-6.4
37.5,-5.8
45.2,-0.5
112.6,-1.3
64.8,2.6
144.4,4.3
213.0,6.1
166.8,9.5
56.9,10.7
25.3,9.5
96.0,3.5
71.2,1.8
64.1,-6.0
84.7,-5.8
36.3,-5.7
67.4,-1.8
76.9,1.4
52.4,6.8
114.5,9.3
158.8,10.7
155.0,10.1
170.2,7.5
21.9,3.3
77.9,0.1
29.7,-3.7
45.3,-5.1
95.3,-4.2
18.7,-0.8
79.2,2.0
96.9,3.8
84.5,9.4
97.1,13.8
212.0,11.5
60.9,7.7
142.7,3.8
128.5,-0.4
53.4,-7.0
30.1,-10.4
10.2,-10.6
15.6,-2.2
45.6,-0.4
45.1,6.8
100.5,9.9
105.4,11.9
189.5,10.5
40.0,9.8
52.8,4.1
29.5,-0.5
88.8,-3.4
20.5,-3.6
1.1,-6.4
40.3,-0.5
42.7,2.5
105.0,5.1
83.1,11.7
143.8,10.0
184.4,10.1
126.9,8.1
80.9,2.9
39.3,0.7
38.1,-5.2
106.3,-8.1
67.4,-7.4
57.6,-3.4
37.0,0.3
83.4,7.9
109.1,11.5
200.5,10.6
216.6,9.1
96.1,3.8
39.5,3.0
20.5,0.7
43.3,-7.1
87.0,-5.2
3.7,-10.6
53.0,-3.5
66.0,0.1
107.8,4.9
67.6,8.3
181.4,10.7
77.6,12.7
57.9,11.1
91.5,3.0
43.4,-0.4
2.2,-3.3
33.4,-8.1
47.0,-5.7
51.8,-1.3
40.2,1.9
138.0,4.1
132.3,6.7
155.3,11.8
87.5,11.4
73.0,8.3
116.2,3.1
39.2,-2.3
14.2,-8.2
40.1,-6.2
10.0,-5.8
49.3,-1.5
38.0,4.3
46.5,8.1
178.6,9.1
111.3,12.1
221.6,9.3
64.7,8.9
75.7,2.8
59.5,-1.1
50.8,-0.9
43.0,-9.1
276.7,-5.5
62.8,-4.5
85.6,-0.1
87.6,3.8
83.0,11.2
101.2,11.7
126.8,9.7
75.0,8.0
183.4,3.3
68.5,-0.6
78.9,-6.4
57.3,-2.2
55.1,-4.8
17.9,-0.8
88.8,1.5
50.9,6.4
81.5,8.5
224.3,10.1
88.2,10.1
84.9,7.7
73.9,-0.4
13.0,-1.5
136.4,-5.3
60.3,-4.6
129.1,-3.1
63.0,-3.2
39.1,0.6
68.8,7.3
100.3,10.4
164.2,11.2
135.4,10.1
105.5,6.9
57.6,4.2
22.1,-2.1
50.5,-7.4
101.8,-6.6
40.8,-6.5
39.1,-0.6
17.0,-1.8
54.7,4.5
131.7,10.8
118.1,10.7
189.0,10.1
53.5,8.0
51.5,3.5
19.0,0.8
44.4,-4.9
43.8,-4.0
21.1,-3.7
129.3,-5.7
30.0,3.0
124.1,3.2
67.3,9.8
201.2,10.3
84.0,10.8
85.4,7.0
109.1,2.5
176.4,-0.2
37.5,-6.7
68.4,-8.8
77.6,-5.0
81.1,-2.4
50.7,1.3
127.5,5.2
101.2,8.4
161.3,9.8
88.9,9.2
101.7,7.6
26.2,3.6
78.9,-1.6
77.6,-11.0
20.7,-7.7
41.8,-5.1
49.4,-1.9
30.8,0.3
60.4,3.2
104.3,9.8
136.9,12.0
158.2,9.3
50.8,6.6
68.4,1.8
50.6,-2.4
47.2,-5.8
57.6,-10.4
14.9,-8.6
39.3,0.3
41.2,2.2
94.0,6.1
153.0,9.3
115.7,10.6
117.8,10.7
90.1,9.6
106.0,6.0
30.3,-3.5
10.3,-4.0
72.2,-5.7
33.2,-4.5
37.9,-0.1
116.8,2.2
100.6,7.0
153.2,7.9
111.8,11.1
54.7,12.5
130.8,8.8
0.0,5.3
34.1,-2.6
18.9,-4.8
67.1,-5.3
119.5,-8.3
115.0,-6.2
17.2,2.3
42.6,5.9
95.4,8.5
140.8,10.8
75.0,13.7
113.4,7.5
78.4,2.7
181.5,-2.9
58.5,-8.0
40.4,-11.7
93.9,-2.6
168.5,-1.5
62.7,2.1
104.2,7.3
61.2,11.0
70.6,12.7
124.5,10.3
90.0,8.0
50.9,2.7
32.3,-3.0
69.6,-5.0
33.9,-7.4
185.2,-3.7
11.4,-1.0
12.3,4.2
85.5,7.5
193.0,8.4
126.5,12.2
133.9,10.7
40.2,9.3
32.0,2.9
35.8,-1.2
39.3,-6.5
44.4,-9.4
20.0,-5.7
92.3,0.0
34.0,4.1
62.9,8.7
160.7,11.1
157.4,13.0
114.0,12.4
26.1,9.5
24.8,4.7
141.3,0.2
105.7,-5.5
90.1,-2.9
164.5,-5.2
53.4,0.0
49.1,2.4
32.6,7.9
232.6,8.0
148.4,8.5
143.4,10.7
48.1,8.1
25.5,4.5
7.7,0.4
23.0,-4.0
107.9,-5.2
16.4,-5.6
60.7,-4.5
74.0,4.2
57.1,6.0
87.5,9.3
109.9,11.9
88.3,11.2
76.3,10.5
40.4,5.7
47.3,-1.9
67.5,-3.7
106.0,-6.8
94.9,-3.4
7.6,-1.7
91.7,0.1
68.7,7.5
93.6,11.6
149.2,13.0
141.4,11.3
109.0,7.3
11.6,3.4
141.5,-1.8
28.7,-7.5
212.5,-5.0
73.1,-4.5
73.0,-3.7
37.5,0.5
35.9,5.5
137.0,9.1
113.5,11.7
162.5,10.8
47.3,9.2
5.9,3.6
124.8,0.8
26.1,-3.8
63.7,-7.5
71.9,-7.3
68.3,-0.8
23.0,3.4
61.9,6.4
100.3,10.6
88.6,13.8
136.5,11.5
143.5,4.6
110.2,2.5
177.7,-4.3
81.6,-6.1
18.1,-9.3
38.5,-7.4
4.5,-2.1
47.4,2.8
48.5,6.9
188.8,7.7
150.0,11.3
81.9,10.4
71.2,8.9
63.6,5.4
3.5,-0.2
28.6,-1.7
178.2,-8.8
25.7,-5.9
29.9,-1.2
47.7,0.0
109.8,4.5
131.2,9.3
164.6,8.2
201.7,9.1
108.9,8.2
65.5,3.7
19.3,-0.6
220.6,-3.8
51.5,-4.1
131.8,-6.0
9.6,-4.5
