date,precipitation (mm),sunshine (min),mean temperature (°C),mean max daily temperature (°C),mean min daily temperature (°C)
1914-10-01,397.4,45392.0,-2.5,2.6,-7.7
1915-10-01,453.0,46062.0,-1.8,3.1,-6.5
1916-10-01,483.9,47616.0,-3.5,1.5,-8.2
1917-10-01,368.2,51360.0,-3.1,2.2,-7.9
1918-10-01,505.3,43823.0,-2.7,2.6,-7.1
1919-10-01,586.6,48054.0,-2.3,3.1,-7.0
1920-10-01,224.1,55309.0,-1.5,4.8,-6.0
1921-10-01,471.8,46839.0,-2.2,3.2,-6.8
1922-10-01,441.9,40336.0,-2.7,2.1,-7.4
1923-10-01,465.8,48015.0,-2.7,2.3,-7.4
1924-10-01,216.4,53579.0,-1.7,3.5,-6.3
1925-10-01,417.3,48172.0,-1.5,3.5,-6.2
1926-10-01,496.6,48077.0,-1.8,3.3,-6.5
1927-10-01,368.0,52417.0,-1.2,3.8,-5.8
1928-10-01,426.1,54537.0,-3.8,1.5,-8.5
1929-10-01,275.7,47864.0,-1.1,4.0,-5.7
1930-10-01,426.6,46009.0,-2.9,2.5,-7.5
1931-10-01,313.0,56033.0,-3.2,2.3,-8.0
1932-10-01,309.5,49522.0,-2.0,3.3,-6.6
1933-10-01,307.0,51626.0,-2.4,3.2,-7.4
1934-10-01,654.1,44759.0,-2.6,2.6,-7.4
1935-10-01,549.9,38702.0,-1.4,3.5,-5.9
1936-10-01,514.8,41542.0,-2.5,2.4,-7.0
1937-10-01,328.9,50659.0,-2.9,2.4,-7.7
1938-10-01,339.1,51864.0,-1.6,3.8,-6.3
1939-10-01,600.8,41093.0,-2.8,2.3,-7.4
1940-10-01,325.4,45427.0,-3.3,2.3,-7.8
1941-10-01,319.2,47535.0,-3.2,2.2,-7.6
1942-10-01,406.7,58542.0,-1.3,4.4,-6.1
1943-10-01,371.8,51355.0,-2.8,2.8,-7.5
1944-10-01,683.9,46094.0,-3.2,2.4,-7.6
1945-10-01,395.6,50038.0,-1.9,4.0,-6.6
1946-10-01,297.8,48534.0,-2.2,3.5,-7.0
1947-10-01,628.9,50510.0,-0.9,4.7,-5.6
1948-10-01,315.2,59686.0,-1.4,4.9,-6.3
1949-10-01,455.4,50124.0,-1.7,4.1,-6.0
1950-10-01,577.9,40410.0,-2.7,2.8,-7.3
1951-10-01,383.7,45907.0,-1.6,3.9,-6.3
1952-10-01,478.0,49808.0,-3.4,2.3,-7.9
1953-10-01,377.2,47448.0,-1.7,3.9,-6.0
1954-10-01,563.5,51051.0,-2.1,3.3,-6.6
1955-10-01,324.6,49580.0,-3.5,2.3,-8.0
1956-10-01,321.9,50821.0,-1.8,3.8,-6.2
1957-10-01,365.8,54629.0,-2.3,3.3,-6.8
1958-10-01,377.8,52480.0,-1.2,4.1,-5.6
1959-10-01,327.2,47853.0,-1.4,3.6,-5.7
1960-10-01,472.2,47448.0,-0.8,4.3,-5.2
1961-10-01,453.7,51479.0,-2.1,2.9,-6.8
1962-10-01,330.8,50767.0,-3.7,1.6,-8.5
1963-10-01,309.9,53187.0,-1.5,3.6,-5.8
1964-10-01,448.8,39933.0,-2.9,1.5,-7.3
1965-10-01,471.1,47045.0,-1.5,3.5,-6.3
1966-10-01,530.2,44844.0,-2.0,2.6,-6.5
1967-10-01,513.7,55120.0,-1.6,3.7,-6.4
1968-10-01,310.6,50860.0,-1.5,3.4,-6.0
1969-10-01,546.0,45533.0,-2.8,2.1,-7.5
1970-10-01,354.3,52766.0,-1.9,3.1,-6.7
1971-10-01,231.7,55334.0,-0.3,4.5,-4.8
1972-10-01,359.0,55940.0,-2.3,2.7,-7.0
1973-10-01,500.5,48359.0,-1.0,3.7,-5.5
1974-10-01,507.0,46736.0,-2.0,2.4,-6.7
1975-10-01,253.1,59204.0,-1.5,3.2,-6.2
1976-10-01,574.9,42574.0,-1.2,3.4,-6.0
1977-10-01,434.9,45271.0,-1.2,3.3,-5.8
1978-10-01,399.2,50387.0,-1.5,3.3,-6.0
1979-10-01,590.9,44901.0,-1.5,2.9,-6.0
1980-10-01,566.5,49102.0,-2.2,2.7,-6.9
1981-10-01,504.9,44417.0,-2.2,2.5,-6.8
1982-10-01,477.6,45272.0,-1.2,3.6,-5.7
1983-10-01,392.0,57420.0,-2.4,2.7,-7.1
1984-10-01,342.8,51034.0,-1.7,3.4,-6.2
1985-10-01,407.0,55775.0,-2.2,2.8,-6.7
1986-10-01,418.1,57708.0,-1.8,3.4,-6.5
1987-10-01,442.7,45157.0,-0.5,4.2,-4.6
1988-10-01,399.8,57089.0,0.1,5.2,-4.1
1989-10-01,449.0,62766.0,0.2,5.8,-4.3
1990-10-01,274.8,56063.0,-1.3,3.7,-5.8
1991-10-01,553.8,55540.0,-1.6,3.5,-6.1
1992-10-01,418.7,51617.0,-0.9,3.9,-5.3
1993-10-01,499.3,46868.0,-0.9,3.7,-5.2
1994-10-01,488.6,48156.0,-0.5,4.2,-5.0
1995-10-01,201.0,61615.0,-0.8,4.4,-5.5
1996-10-01,470.1,56758.0,-0.5,4.5,-4.9
1997-10-01,364.9,53985.0,-0.4,4.8,-4.7
1998-10-01,639.1,45572.0,-2.0,2.7,-6.1
1999-10-01,536.2,49266.0,-1.3,3.6,-5.7
2000-10-01,564.5,39702.0,-0.2,4.3,-4.1
2001-10-01,370.3,56794.0,-0.5,4.9,-4.7
2002-10-01,484.3,56961.0,-1.0,4.1,-5.3
2003-10-01,497.4,50650.0,-1.2,3.7,-5.6
2004-10-01,287.8,52055.0,-1.5,3.6,-5.8
2005-10-01,358.2,54209.0,-2.1,3.2,-6.5
2006-10-01,328.2,61362.0,1.6,7.3,-2.9
2007-10-01,460.3,52211.0,-1.3,3.7,-5.6
2008-10-01,472.8,51801.0,-1.5,3.4,-5.9
2009-10-01,354.2,50856.0,-1.8,3.2,-6.3
2010-10-01,283.2,60317.0,-0.7,4.5,-5.0
2011-10-01,622.7,58963.0,-0.9,4.5,-5.5
2012-10-01,415.4,45910.0,-1.1,3.8,-5.5
2013-10-01,431.0,52416.0,0.4,5.5,-3.7
2014-10-01,459.7,51961.0,0.2,5.2,-4.1
2015-10-01,414.3,53739.0,0.5,5.6,-3.9
2016-10-01,365.0,56672.0,-0.2,5.1,-4.5
2017-10-01,599.0,50336.0,-0.9,4.0,-5.3
2018-10-01,684.7,57252.0,-0.2,5.1,-4.4
2019-10-01,563.1,55904.0,1.0,6.3,-3.6
2020-10-01,455.8,54650.0,-0.9,4.2,-5.1
2021-10-01,319.5,60331.0,-0.5,5.0,-5.1
2022-10-01,378.4,53011.0,0.6,5.8,-3.6
2023-10-01,690.0,45934.0,1.0,5.8,-3.1
2024-10-01,237.5,59353.0,1.0,6.7,-3.4
