precipitation (mm),temperature (°C),mean temperature (°C),date
523.6,101.1,8.5,1914-10-01
565.3,100.4,8.4,1915-10-01
514.9,98.0,8.2,1916-10-01
543.7,98.1,8.2,1917-10-01
622.7,102.4,8.6,1918-10-01
615.8,111.2,9.3,1919-10-01
222.4,119.7,10.0,1920-10-01
714.7,101.3,8.5,1921-10-01
486.6,100.6,8.4,1922-10-01
679.2,101.2,8.5,1923-10-01
404.4,105.5,8.8,1924-10-01
686.8,106.6,8.9,1925-10-01
702.1,106.0,8.9,1926-10-01
495.5,114.0,9.5,1927-10-01
585.4,99.2,8.3,1928-10-01
570.7,115.1,9.6,1929-10-01
752.6,99.1,8.3,1930-10-01
491.6,101.7,8.5,1931-10-01
445.3,111.4,9.3,1932-10-01
412.1,107.3,9.0,1933-10-01
622.7,108.6,9.1,1934-10-01
726.9,111.8,9.3,1935-10-01
558.3,112.4,9.4,1936-10-01
459.8,107.1,9.0,1937-10-01
445.4,107.3,9.0,1938-10-01
711.2,103.9,8.7,1939-10-01
523.5,96.9,8.1,1940-10-01
436.3,102.3,8.6,1941-10-01
444.5,119.1,10.0,1942-10-01
389.1,108.9,9.1,1943-10-01
831.2,107.2,9.0,1944-10-01
614.4,112.0,9.4,1945-10-01
444.1,118.1,9.9,1946-10-01
574.0,118.6,9.9,1947-10-01
367.0,117.7,9.8,1948-10-01
510.6,120.1,10.1,1949-10-01
663.6,108.0,9.0,1950-10-01
542.8,114.8,9.6,1951-10-01
703.5,103.5,8.7,1952-10-01
520.7,105.8,8.9,1953-10-01
795.3,110.2,9.2,1954-10-01
534.4,98.0,8.2,1955-10-01
547.4,106.0,8.9,1956-10-01
565.3,108.5,9.1,1957-10-01
521.1,120.2,10.1,1958-10-01
654.2,113.5,9.5,1959-10-01
541.9,120.0,10.0,1960-10-01
608.9,109.5,9.2,1961-10-01
548.1,96.4,8.1,1962-10-01
433.7,114.1,9.5,1963-10-01
679.9,96.4,8.1,1964-10-01
687.1,112.8,9.4,1965-10-01
620.3,113.9,9.5,1966-10-01
584.1,110.6,9.2,1967-10-01
596.3,110.4,9.3,1968-10-01
688.3,104.6,8.8,1969-10-01
491.5,111.6,9.3,1970-10-01
367.4,109.2,9.1,1971-10-01
573.9,107.3,9.0,1972-10-01
588.0,113.5,9.5,1973-10-01
613.5,111.4,9.3,1974-10-01
343.6,110.4,9.2,1975-10-01
711.3,110.2,9.2,1976-10-01
699.4,103.7,8.7,1977-10-01
564.4,102.1,8.5,1978-10-01
732.9,104.6,8.7,1979-10-01
576.5,105.6,8.8,1980-10-01
642.4,114.8,9.6,1981-10-01
666.1,117.7,9.9,1982-10-01
562.9,101.9,8.5,1983-10-01
624.2,108.8,9.1,1984-10-01
588.4,110.4,9.3,1985-10-01
600.8,109.1,9.1,1986-10-01
587.0,124.0,10.4,1987-10-01
530.5,120.2,10.1,1988-10-01
811.3,121.9,10.2,1989-10-01
579.1,120.2,10.1,1990-10-01
499.1,117.7,9.8,1991-10-01
788.4,122.8,10.3,1992-10-01
712.2,129.5,10.8,1993-10-01
822.4,123.6,10.3,1994-10-01
429.1,121.7,10.2,1995-10-01
658.9,125.7,10.5,1996-10-01
473.3,128.0,10.7,1997-10-01
757.5,119.2,10.0,1998-10-01
502.3,123.9,10.3,1999-10-01
789.3,128.6,10.8,2000-10-01
492.9,125.2,10.5,2001-10-01
561.6,138.6,11.6,2002-10-01
476.1,126.9,10.6,2003-10-01
507.9,119.3,10.0,2004-10-01
598.7,119.0,10.0,2005-10-01
744.7,136.6,11.4,2006-10-01
488.8,127.2,10.6,2007-10-01
517.6,125.7,10.5,2008-10-01
544.7,123.9,10.4,2009-10-01
394.1,131.1,11.0,2010-10-01
582.8,127.8,10.7,2011-10-01
633.4,123.2,10.3,2012-10-01
593.6,131.1,11.0,2013-10-01
540.4,139.5,11.7,2014-10-01
554.3,134.4,11.2,2015-10-01
503.4,132.8,11.1,2016-10-01
646.7,139.0,11.6,2017-10-01
530.4,138.4,11.6,2018-10-01
672.7,142.4,11.9,2019-10-01
663.5,127.6,10.6,2020-10-01
403.5,136.7,11.4,2021-10-01
689.7,144.0,12.0,2022-10-01
787.5,142.9,11.9,2023-10-01
617.2,140.6,11.8,2024-10-01
