reference_timestamp,ths200m0,th9120mv,rhs150m0,rh9120mv,shs000m0,sh9120mv
01.02.1914 00:00,3.2,0.9,23.8,59,6106.0,78.0
01.03.1914 00:00,4.4,-2.8,144.8,392,6244.0,55.0
01.04.1914 00:00,11.1,-0.2,29.5,88,12246.0,97.0
01.05.1914 00:00,11.5,-3.8,90.3,174,11293.0,82.0
01.06.1914 00:00,15.1,-3.9,33.4,69,13697.0,90.0
01.07.1914 00:00,16.3,-4.3,93.3,151,13712.0,84.0
01.08.1914 00:00,16.8,-3.1,99.1,166,15902.0,106.0
01.09.1914 00:00,12.8,-2.9,44.3,118,12978.0,104.0
01.10.1914 00:00,8.1,-2.6,42.9,100,9490.0,99.0
01.11.1914 00:00,2.4,-2.6,60.3,120,6333.0,110.0
01.12.1914 00:00,1.7,0.8,36.9,55,3761.0,92.0
01.01.1915 00:00,-1.7,-2.2,70.0,135,3772.0,67.0
01.02.1915 00:00,0.4,-1.9,17.3,43,5989.0,76.0
01.03.1915 00:00,4.4,-2.8,25.9,70,9053.0,80.0
01.04.1915 00:00,7.5,-3.8,57.0,169,11043.0,88.0
01.05.1915 00:00,15.5,0.2,15.6,30,13454.0,98.0
01.06.1915 00:00,18.0,-1.0,27.2,56,12190.0,80.0
01.07.1915 00:00,16.7,-3.9,89.4,144,14085.0,87.0
01.08.1915 00:00,16.1,-3.8,40.6,68,17889.0,119.0
01.09.1915 00:00,12.0,-3.7,40.5,108,13156.0,106.0
01.10.1915 00:00,6.7,-4.0,4.6,11,7707.0,80.0
01.11.1915 00:00,0.6,-4.4,40.7,81,4639.0,81.0
01.12.1915 00:00,2.5,1.6,94.2,139,2407.0,59.0
01.01.1916 00:00,0.7,0.2,30.4,59,6252.0,112.0
01.02.1916 00:00,1.7,-0.6,97.6,242,3729.0,48.0
01.03.1916 00:00,5.2,-2.0,37.1,101,5987.0,53.0
01.04.1916 00:00,9.1,-2.2,50.3,149,12252.0,97.0
01.05.1916 00:00,14.0,-1.3,45.8,88,13837.0,101.0
01.06.1916 00:00,14.4,-4.6,67.1,139,13325.0,87.0
01.07.1916 00:00,17.0,-3.6,32.8,53,14144.0,87.0
01.08.1916 00:00,16.6,-3.3,44.3,74,15060.0,101.0
01.09.1916 00:00,11.9,-3.8,20.4,54,11130.0,89.0
01.10.1916 00:00,8.6,-2.1,35.8,84,9054.0,95.0
01.11.1916 00:00,3.2,-1.8,34.9,69,4651.0,81.0
01.12.1916 00:00,-0.5,-1.4,114.7,169,2038.0,50.0
01.01.1917 00:00,-3.4,-3.9,26.3,51,4052.0,72.0
01.02.1917 00:00,-1.9,-4.2,1.9,5,8419.0,107.0
01.03.1917 00:00,2.5,-4.7,33.5,91,7348.0,65.0
01.04.1917 00:00,6.1,-5.2,21.4,64,11758.0,93.0
01.05.1917 00:00,15.8,0.5,25.3,49,11535.0,84.0
01.06.1917 00:00,18.2,-0.8,50.1,104,16947.0,111.0
01.07.1917 00:00,17.6,-3.0,79.7,129,15166.0,93.0
01.08.1917 00:00,16.1,-3.8,70.3,118,15626.0,104.0
01.09.1917 00:00,15.7,0.0,21.0,56,14812.0,119.0
01.10.1917 00:00,6.4,-4.3,108.1,253,7694.0,80.0
01.11.1917 00:00,1.4,-3.6,45.2,90,6470.0,113.0
01.12.1917 00:00,-2.6,-3.5,3.7,5,3531.0,86.0
01.01.1918 00:00,-0.9,-1.4,49.8,96,5318.0,95.0
01.02.1918 00:00,1.3,-1.0,2.0,5,8903.0,113.0
01.03.1918 00:00,4.4,-2.8,41.1,111,12582.0,112.0
01.04.1918 00:00,9.1,-2.2,22.7,67,8373.0,66.0
01.05.1918 00:00,15.3,0.0,9.7,19,17138.0,125.0
01.06.1918 00:00,14.7,-4.3,85.7,178,14460.0,95.0
01.07.1918 00:00,18.1,-2.5,21.8,35,18263.0,112.0
01.08.1918 00:00,17.3,-2.6,53.3,89,17377.0,116.0
