The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
"When using these data, please cite as:"
"GLAMOS (2025). Swiss Glacier Length Change, release 2025, Glacier Monitoring Switzerland, doi:10.18750/lengthchange.2025.r2025."
SWISS GLACIER LENGTH CHANGE
"glacier name,glacier id,start date of observation,quality of start date,end date of observation,quality of end date,length change,elevation of glacier tongue,observer"
",(according to Swiss Glacier Inventory),date_start,x = date not exactly known,date_end,x = date not exactly known,dL,h_min,"
",,yyyy-mm-dd (ISO 8601),,yyyy-mm-dd (ISO 8601),,m,m asl.,"
"Silvrettagletscher,A10g-05,1956-09-01,x,1957-09-01,x,-8.00,,-"
"Silvrettagletscher,A10g-05,1957-09-01,x,1958-09-01,x,-9.00,,-"
"Silvrettagletscher,A10g-05,1958-09-01,x,1959-09-01,x,-16.00,,-"
"Silvrettagletscher,A10g-05,1959-09-01,x,1960-09-01,x,-3.00,,-"
"Silvrettagletscher,A10g-05,1960-09-01,x,1961-09-01,x,-10.00,,-"
"Silvrettagletscher,A10g-05,1961-09-01,x,1962-09-01,x,-12.00,,-"
"Silvrettagletscher,A10g-05,1962-09-01,x,1963-09-01,x,-13.00,,-"
"Silvrettagletscher,A10g-05,1963-09-01,x,1964-09-01,x,-7.00,,-"
"Silvrettagletscher,A10g-05,1964-09-01,x,1966-09-01,x,6.00,,-"
"Silvrettagletscher,A10g-05,1966-09-01,x,1967-09-01,x,-9.00,,-"
"Silvrettagletscher,A10g-05,1967-09-01,x,1968-09-01,x,0.00,,-"
"Silvrettagletscher,A10g-05,1968-09-01,x,1969-09-01,x,-13.00,,-"
"Silvrettagletscher,A10g-05,1969-09-01,x,1970-09-01,x,-4.00,,-"
"Silvrettagletscher,A10g-05,1970-09-01,x,1971-09-01,x,-8.00,,-"
"Silvrettagletscher,A10g-05,1971-09-01,x,1972-09-01,x,-3.00,,-"
"Silvrettagletscher,A10g-05,1972-09-01,x,1973-09-01,x,-8.00,,-"
"Silvrettagletscher,A10g-05,1973-09-01,x,1974-09-01,x,3.00,,-"
"Silvrettagletscher,A10g-05,1974-09-01,x,1975-09-01,x,7.00,,-"
"Silvrettagletscher,A10g-05,1975-09-01,x,1976-09-01,x,-2.00,,-"
"Silvrettagletscher,A10g-05,1976-09-01,x,1977-09-01,x,-10.00,,-"
"Silvrettagletscher,A10g-05,1977-09-01,x,1978-09-01,x,4.00,,-"
"Silvrettagletscher,A10g-05,1978-09-01,x,1979-09-01,x,-2.00,,-"
"Silvrettagletscher,A10g-05,1979-09-01,x,1980-09-01,x,4.00,,-"
"Silvrettagletscher,A10g-05,1980-09-01,x,1981-09-01,x,4.00,,-"
"Silvrettagletscher,A10g-05,1981-09-01,x,1982-09-01,x,-4.00,,-"
"Silvrettagletscher,A10g-05,1982-09-01,x,1983-09-01,x,-3.00,,-"
"Silvrettagletscher,A10g-05,1983-09-01,x,1984-09-01,x,3.00,,-"
"Silvrettagletscher,A10g-05,1984-09-01,x,1986-09-01,x,-6.00,,-"
"Silvrettagletscher,A10g-05,1986-09-01,x,1987-09-01,x,-3.00,,-"
"Silvrettagletscher,A10g-05,1987-09-01,x,1988-09-01,x,-8.00,,-"
"Silvrettagletscher,A10g-05,1988-09-01,x,1989-09-01,x,-9.00,,-"
"Silvrettagletscher,A10g-05,1989-09-01,x,1990-09-01,x,-13.00,,-"
"Silvrettagletscher,A10g-05,1990-09-01,x,1991-09-01,x,-9.00,,-"
"Silvrettagletscher,A10g-05,1991-09-01,x,1992-09-01,x,-13.00,,-"
"Silvrettagletscher,A10g-05,1992-09-01,x,1993-09-01,x,-14.00,,-"
"Silvrettagletscher,A10g-05,1993-09-01,x,1994-09-01,x,-6.00,,-"
"Silvrettagletscher,A10g-05,1994-09-01,x,1995-09-01,x,-15.00,,-"
"Silvrettagletscher,A10g-05,1995-09-01,x,1997-09-01,x,-10.00,,-"
"Silvrettagletscher,A10g-05,1997-09-01,x,1998-09-01,x,-12.00,,-"
"Silvrettagletscher,A10g-05,1998-09-01,x,1999-11-01,,-6.00,,-"
"Silvrettagletscher,A10g-05,1999-11-01,,2000-09-09,,-2.00,2462.9,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2000-09-09,,2002-09-17,,-10.90,2463.4,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2002-09-17,,2003-08-13,,-6.60,2463.2,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2003-08-13,,2004-10-05,,-5.80,2463.7,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2004-10-05,,2005-09-15,,-15.90,2465.7,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2005-09-15,,2006-09-05,,-7.40,2465.7,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2006-09-05,,2007-09-24,,-10.40,2467.8,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2007-09-24,,2008-09-09,,-6.00,2468.3,VAW/ETHZ; Andreas Bauder"
"Silvrettagletscher,A10g-05,2008-09-09,,2009-09-09,,-6.80,2466.9,VAW/ETHZ; Andreas Bauder"
