station_abbr,reference_timestamp,ths2dymn,ths2dymx,ths200m0,th9120mv,th91dnmv,th91dxmv,ths00nm0,pva2hsm0,ths25xm0,pv9120mv,ths00xm0,ths20nm0,thl200mx,phsstam0,thl200mn,ph9120mv,ths30xm0,xhs000m0,fhs010m0,fh9120mv,rhs001m0,ths35xm0,rhs150m0,rh9120mv,ghs000m0,gh9120mv,shs000m0,sh9120mv,xhs00om0,xhs012m0
ALT,01.01.1864 00:00,,,-4.5,-6.1,,,,,,,,,,,,,,,,,,,40.8,58,,,,,,
ALT,01.02.1864 00:00,,,-0.4,-2.8,,,,,,,,,,,,,,,,,,,38.0,64,,,,,,
ALT,01.03.1864 00:00,,,5.4,-0.7,,,,,,,,,,,,,,,,,,,31.6,44,,,,,,
ALT,01.04.1864 00:00,,,7.2,-2.7,,,,,,,,,,,,,,,,,,,155.1,191,,,,,,
ALT,01.05.1864 00:00,,,12.6,-1.4,,,,,,,,,,,,,,,,,,,103.9,89,,,,,,
ALT,01.06.1864 00:00,,,14.4,-2.9,,,,,,,,,,,,,,,,,,,176.8,128,,,,,,
ALT,01.07.1864 00:00,,,16.6,-2.3,,,,,,,,,,,,,,,,,,,175.1,125,,,,,,
ALT,01.08.1864 00:00,,,15.1,-3.4,,,,,,,,,,,,,,,,,,,77.0,50,,,,,,
ALT,01.09.1864 00:00,,,12.6,-2.1,,,,,,,,,,,,,,,,,,,71.6,68,,,,,,
ALT,01.10.1864 00:00,,,8.7,-2.0,,,,,,,,,,,,,,,,,,,27.1,32,,,,,,
ALT,01.11.1864 00:00,,,3.9,-1.8,,,,,,,,,,,,,,,,,,,72.9,90,,,,,,
ALT,01.12.1864 00:00,,,-1.7,-4.0,,,,,,,,,,,,,,,,,,,5.9,7,,,,,,
ALT,01.01.1865 00:00,,,1.0,-0.6,,,,,,,,,,,,,,,,,,,53.0,76,,,,,,
ALT,01.02.1865 00:00,,,-1.1,-3.5,,,,,,,,,,,,,,,,,,,25.7,43,,,,,,
ALT,01.03.1865 00:00,,,-0.6,-6.7,,,,,,,,,,,,,,,,,,,69.2,96,,,,,,
ALT,01.04.1865 00:00,,,12.4,2.5,,,,,,,,,,,,,,,,,,,1.0,1,,,,,,
ALT,01.05.1865 00:00,,,16.3,2.3,,,,,,,,,,,,,,,,,,,57.0,49,,,,,,
ALT,01.06.1865 00:00,,,16.0,-1.3,,,,,,,,,,,,,,,,,,,75.3,55,,,,,,
ALT,01.07.1865 00:00,,,18.5,-0.4,,,,,,,,,,,,,,,,,,,220.7,157,,,,,,
ALT,01.08.1865 00:00,,,15.3,-3.2,,,,,,,,,,,,,,,,,,,197.5,129,,,,,,
ALT,01.09.1865 00:00,,,14.9,0.2,,,,,,,,,,,,,,,,,,,1.8,2,,,,,,
ALT,01.10.1865 00:00,,,9.7,-1.0,,,,,,,,,,,,,,,,,,,95.4,113,,,,,,
ALT,01.11.1865 00:00,,,5.5,-0.2,,,,,,,,,,,,,,,,,,,74.5,92,,,,,,
ALT,01.12.1865 00:00,,,-1.3,-3.6,,,,,,,,,,,,,,,,,,,4.8,6,,,,,,
ALT,01.01.1866 00:00,,,2.1,0.5,,,,,,,,,,,,,,,,,,,62.3,89,,,,,,
ALT,01.02.1866 00:00,,,4.4,2.0,,,,,,,,,,,,,,,,,,,109.4,185,,,,,,
ALT,01.03.1866 00:00,,,5.0,-1.1,,,,,,,,,,,,,,,,,,,115.9,161,,,,,,
ALT,01.04.1866 00:00,,,9.7,-0.2,,,,,,,,,,,,,,,,,,,97.3,120,,,,,,
ALT,01.05.1866 00:00,,,10.6,-3.4,,,,,,,,,,,,,,,,,,,85.4,73,,,,,,
ALT,01.06.1866 00:00,,,17.2,-0.1,,,,,,,,,,,,,,,,,,,59.3,43,,,,,,
ALT,01.07.1866 00:00,,,17.1,-1.8,,,,,,,,,,,,,,,,,,,128.5,91,,,,,,
ALT,01.08.1866 00:00,,,14.5,-4.0,,,,,,,,,,,,,,,,,,,241.7,157,,,,,,
ALT,01.09.1866 00:00,,,14.4,-0.3,,,,,,,,,,,,,,,,,,,103.4,98,,,,,,
ALT,01.10.1866 00:00,,,8.5,-2.2,,,,,,,,,,,,,,,,,,,3.5,4,,,,,,
ALT,01.11.1866 00:00,,,3.2,-2.5,,,,,,,,,,,,,,,,,,,204.8,252,,,,,,
ALT,01.12.1866 00:00,,,1.6,-0.7,,,,,,,,,,,,,,,,,,,96.9,116,,,,,,
ALT,01.01.1867 00:00,,,0.1,-1.5,,,,,,,,,,,,,,,,,,,143.1,205,,,,,,
ALT,01.02.1867 00:00,,,5.7,3.3,,,,,,,,,,,,,,,,,,,85.7,145,,,,,,
ALT,01.03.1867 00:00,,,5.1,-1.0,,,,,,,,,,,,,,,,,,,105.8,147,,,,,,
ALT,01.04.1867 00:00,,,8.8,-1.1,,,,,,,,,,,,,,,,,,,160.7,198,,,,,,
ALT,01.05.1867 00:00,,,13.1,-0.9,,,,,,,,,,,,,,,,,,,95.1,81,,,,,,
ALT,01.06.1867 00:00,,,15.5,-1.8,,,,,,,,,,,,,,,,,,,133.1,96,,,,,,
ALT,01.07.1867 00:00,,,16.2,-2.7,,,,,,,,,,,,,,,,,,,46.7,33,,,,,,
ALT,01.08.1867 00:00,,,17.1,-1.4,,,,,,,,,,,,,,,,,,,74.5,49,,,,,,
ALT,01.09.1867 00:00,,,14.3,-0.4,,,,,,,,,,,,,,,,,,,62.7,60,,,,,,
ALT,01.10.1867 00:00,,,6.8,-3.9,,,,,,,,,,,,,,,,,,,192.0,228,,,,,,
ALT,01.11.1867 00:00,,,2.6,-3.1,,,,,,,,,,,,,,,,,,,17.7,22,,,,,,
ALT,01.12.1867 00:00,,,-1.7,-4.0,,,,,,,,,,,,,,,,,,,162.2,194,,,,,,
ALT,01.01.1868 00:00,,,-2.1,-3.7,,,,,,,,,,,,,,,,,,,59.0,84,,,,,,
ALT,01.02.1868 00:00,,,2.3,-0.1,,,,,,,,,,,,,,,,,,,20.2,34,,,,,,
ALT,01.03.1868 00:00,,,2.8,-3.3,,,,,,,,,,,,,,,,,,,217.6,301,,,,,,
ALT,01.04.1868 00:00,,,7.5,-2.4,,,,,,,,,,,,,,,,,,,99.5,123,,,,,,
ALT,01.05.1868 00:00,,,17.0,3.0,,,,,,,,,,,,,,,,,,,35.3,30,,,,,,
ALT,01.06.1868 00:00,,,16.8,-0.5,,,,,,,,,,,,,,,,,,,116.5,84,,,,,,
ALT,01.07.1868 00:00,,,17.1,-1.8,,,,,,,,,,,,,,,,,,,158.8,113,,,,,,
ALT,01.08.1868 00:00,,,17.2,-1.3,,,,,,,,,,,,,,,,,,,62.2,40,,,,,,
ALT,01.09.1868 00:00,,,15.6,0.9,,,,,,,,,,,,,,,,,,,100.1,95,,,,,,
ALT,01.10.1868 00:00,,,8.7,-2.0,,,,,,,,,,,,,,,,,,,200.7,238,,,,,,
ALT,01.11.1868 00:00,,,1.8,-3.9,,,,,,,,,,,,,,,,,,,32.7,40,,,,,,
ALT,01.12.1868 00:00,,,5.6,3.3,,,,,,,,,,,,,,,,,,,152.1,182,,,,,,
ALT,01.01.1869 00:00,,,0.0,-1.6,,,,,,,,,,,,,,,,,,,40.6,58,,,,,,
ALT,01.02.1869 00:00,,,5.8,3.4,,,,,,,,,,,,,,,,,,,30.4,51,,,,,,
ALT,01.03.1869 00:00,,,1.2,-4.9,,,,,,,,,,,,,,,,,,,115.9,161,,,,,,
ALT,01.04.1869 00:00,,,9.6,-0.3,,,,,,,,,,,,,,,,,,,113.8,140,,,,,,
ALT,01.05.1869 00:00,,,14.7,0.7,,,,,,,,,,,,,,,,,,,97.0,83,,,,,,
ALT,01.06.1869 00:00,,,13.4,-3.9,,,,,,,,,,,,,,,,,,,139.7,101,,,,,,
ALT,01.07.1869 00:00,,,19.4,0.5,,,,,,,,,,,,,,,,,,,125.1,89,,,,,,
ALT,01.08.1869 00:00,,,14.9,-3.6,,,,,,,,,,,,,,,,,,,202.1,132,,,,,,
ALT,01.09.1869 00:00,,,14.2,-0.5,,,,,,,,,,,,,,,,,,,51.8,49,,,,,,
ALT,01.10.1869 00:00,,,6.3,-4.4,,,,,,,,,,,,,,,,,,,75.2,89,,,,,,
ALT,01.11.1869 00:00,,,3.9,-1.8,,,,,,,,,,,,,,,,,,,106.3,131,,,,,,
ALT,01.12.1869 00:00,,,-0.1,-2.4,,,,,,,,,,,,,,,,,,,84.8,102,,,,,,
ALT,01.01.1870 00:00,,,-0.9,-2.5,,,,,,,,,,,,,,,,,,,20.7,30,,,,,,
ALT,01.02.1870 00:00,,,-0.2,-2.6,,,,,,,,,,,,,,,,,,,16.3,28,,,,,,
ALT,01.03.1870 00:00,,,2.4,-3.7,,,,,,,,,,,,,,,,,,,56.6,78,,,,,,
ALT,01.04.1870 00:00,,,8.0,-1.9,,,,,,,,,,,,,,,,,,,50.4,62,,,,,,
ALT,01.05.1870 00:00,,,14.2,0.2,,,,,,,,,,,,,,,,,,,30.3,26,,,,,,
ALT,01.06.1870 00:00,,,16.4,-0.9,,,,,,,,,,,,,,,,,,,74.0,54,,,,,,
ALT,01.07.1870 00:00,,,18.9,0.0,,,,,,,,,,,,,,,,,,,57.8,41,,,,,,
ALT,01.08.1870 00:00,,,14.5,-4.0,,,,,,,,,,,,,,,,,,,180.4,117,,,,,,
ALT,01.09.1870 00:00,,,12.0,-2.7,,,,,,,,,,,,,,,,,,,87.0,83,,,,,,
ALT,01.10.1870 00:00,,,7.8,-2.9,,,,,,,,,,,,,,,,,,,247.2,294,,,,,,
ALT,01.11.1870 00:00,,,5.1,-0.6,,,,,,,,,,,,,,,,,,,150.4,185,,,,,,
ALT,01.12.1870 00:00,,,-2.5,-4.8,,,,,,,,,,,,,,,,,,,71.5,86,,,,,,
ALT,01.01.1871 00:00,,,-3.5,-5.1,,,,,,,,,,,,,,,,,,,38.5,55,,,,,,
