station_abbr,reference_timestamp,ths2dymn,ths2dymx,ths200m0,th9120mv,th91dnmv,th91dxmv,ths00nm0,pva2hsm0,ths25xm0,pv9120mv,ths00xm0,ths20nm0,thl200mx,phsstam0,thl200mn,ph9120mv,ths30xm0,xhs000m0,fhs010m0,fh9120mv,rhs001m0,ths35xm0,rhs150m0,rh9120mv,ghs000m0,gh9120mv,shs000m0,sh9120mv,xhs00om0,xhs012m0
DAV,01.01.1864 00:00,,,-10.3,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.02.1864 00:00,,,-6.3,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.03.1864 00:00,,,-2.2,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.04.1864 00:00,,,-0.4,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.05.1864 00:00,,,5.7,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.06.1864 00:00,,,8.1,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.07.1864 00:00,,,10.3,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.08.1864 00:00,,,8.7,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.09.1864 00:00,,,6.6,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.10.1864 00:00,,,2.5,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.11.1864 00:00,,,-1.6,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.12.1864 00:00,,,-6.4,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.01.1865 00:00,,,-6.3,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.02.1865 00:00,,,-8.3,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.03.1865 00:00,,,-7.0,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.04.1865 00:00,,,3.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.05.1865 00:00,,,7.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.06.1865 00:00,,,8.8,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.07.1865 00:00,,,12.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.08.1865 00:00,,,9.3,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.09.1865 00:00,,,9.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.10.1865 00:00,,,3.8,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.11.1865 00:00,,,-0.9,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.12.1865 00:00,,,-5.9,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.01.1866 00:00,,,-4.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.02.1866 00:00,,,-2.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.03.1866 00:00,,,-2.4,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.04.1866 00:00,,,1.9,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.05.1866 00:00,,,3.3,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.06.1866 00:00,,,9.8,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.07.1866 00:00,,,10.3,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.08.1866 00:00,,,8.4,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.09.1866 00:00,,,7.9,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.10.1866 00:00,,,3.9,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.11.1866 00:00,,,-2.2,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
DAV,01.12.1866 00:00,,,-3.8,-0.2,,,,,,,,,,,,,,,,,,,108.8,160.0,,,,,,
DAV,01.01.1867 00:00,,,-5.5,-0.8,,,,,,,,,,,,,,,,,,,137.9,197.0,,,,,,
DAV,01.02.1867 00:00,,,-1.4,2.8,,,,,,,,,,,,,,,,,,,60.7,117.0,,,,,,
DAV,01.03.1867 00:00,,,-1.1,-0.4,,,,,,,,,,,,,,,,,,,36.1,64.0,,,,,,
DAV,01.04.1867 00:00,,,1.8,-1.2,,,,,,,,,,,,,,,,,,,129.2,238.0,,,,,,
DAV,01.05.1867 00:00,,,6.2,-1.2,,,,,,,,,,,,,,,,,,,110.5,125.0,,,,,,
DAV,01.06.1867 00:00,,,9.2,-1.8,,,,,,,,,,,,,,,,,,,74.4,58.0,,,,,,
DAV,01.07.1867 00:00,,,9.6,-3.2,,,,,,,,,,,,,,,,,,,48.3,36.0,,,,,,
DAV,01.08.1867 00:00,,,11.2,-1.4,,,,,,,,,,,,,,,,,,,70.6,47.0,,,,,,
DAV,01.09.1867 00:00,,,8.9,0.2,,,,,,,,,,,,,,,,,,,75.2,78.0,,,,,,
DAV,01.10.1867 00:00,,,1.8,-3.3,,,,,,,,,,,,,,,,,,,108.3,140.0,,,,,,
DAV,01.11.1867 00:00,,,-3.3,-3.3,,,,,,,,,,,,,,,,,,,31.3,44.0,,,,,,
DAV,01.12.1867 00:00,,,-8.1,-4.5,,,,,,,,,,,,,,,,,,,139.0,204.0,,,,,,
DAV,01.01.1868 00:00,,,-7.6,-2.9,,,,,,,,,,,,,,,,,,,35.7,51.0,,,,,,
DAV,01.02.1868 00:00,,,-4.3,-0.1,,,,,,,,,,,,,,,,,,,17.4,33.0,,,,,,
DAV,01.03.1868 00:00,,,-4.3,-3.6,,,,,,,,,,,,,,,,,,,131.1,231.0,,,,,,
DAV,01.04.1868 00:00,,,0.2,-2.8,,,,,,,,,,,,,,,,,,,159.0,292.0,,,,,,
DAV,01.05.1868 00:00,,,8.9,1.5,,,,,,,,,,,,,,,,,,,22.5,25.0,,,,,,
DAV,01.06.1868 00:00,,,10.1,-0.9,,,,,,,,,,,,,,,,,,,126.6,98.0,,,,,,
DAV,01.07.1868 00:00,,,10.5,-2.3,,,,,,,,,,,,,,,,,,,134.1,101.0,,,,,,
