station_abbr,reference_timestamp,ths2dymn,ths2dymx,ths200m0,th9120mv,th91dnmv,th91dxmv,ths00nm0,pva2hsm0,ths25xm0,pv9120mv,ths00xm0,ths20nm0,thl200mx,phsstam0,thl200mn,ph9120mv,ths30xm0,xhs000m0,fhs010m0,fh9120mv,rhs001m0,ths35xm0,rhs150m0,rh9120mv,ghs000m0,gh9120mv,shs000m0,sh9120mv,xhs00om0,xhs012m0
SIO,01.01.1864 00:00,,,-7.1,-7.6,,,,,,,,,,,,,,,,,,,18.3,35,,,,,,
SIO,01.02.1864 00:00,,,-0.7,-3.0,,,,,,,,,,,,,,,,,,,16.9,42,,,,,,
SIO,01.03.1864 00:00,,,5.8,-1.4,,,,,,,,,,,,,,,,,,,21.2,57,,,,,,
SIO,01.04.1864 00:00,,,9.5,-1.8,,,,,,,,,,,,,,,,,,,13.3,39,,,,,,
SIO,01.05.1864 00:00,,,14.5,-0.8,,,,,,,,,,,,,,,,,,,67.9,131,,,,,,
SIO,01.06.1864 00:00,,,15.6,-3.4,,,,,,,,,,,,,,,,,,,92.5,192,,,,,,
SIO,01.07.1864 00:00,,,18.6,-2.0,,,,,,,,,,,,,,,,,,,35.6,58,,,,,,
SIO,01.08.1864 00:00,,,17.0,-2.9,,,,,,,,,,,,,,,,,,,31.7,53,,,,,,
SIO,01.09.1864 00:00,,,13.3,-2.4,,,,,,,,,,,,,,,,,,,16.3,43,,,,,,
SIO,01.10.1864 00:00,,,8.1,-2.6,,,,,,,,,,,,,,,,,,,26.5,62,,,,,,
SIO,01.11.1864 00:00,,,2.1,-2.9,,,,,,,,,,,,,,,,,,,63.9,127,,,,,,
SIO,01.12.1864 00:00,,,-2.5,-3.4,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,
SIO,01.01.1865 00:00,,,-1.1,-1.6,,,,,,,,,,,,,,,,,,,59.2,114,,,,,,
SIO,01.02.1865 00:00,,,-2.0,-4.3,,,,,,,,,,,,,,,,,,,44.3,110,,,,,,
SIO,01.03.1865 00:00,,,0.3,-6.9,,,,,,,,,,,,,,,,,,,22.8,62,,,,,,
