hy total precipitation (mm),hy mean temperature (°C),date
1186.5,8.7,1914-10-01
1012.6,8.7,1915-10-01
1127.9,8.8,1916-10-01
1219.9,8.2,1917-10-01
1036.4,8.5,1918-10-01
991.5,9.1,1919-10-01
634.4,9.5,1920-10-01
1341.7,8.4,1921-10-01
1109.0,8.5,1922-10-01
1298.5,8.4,1923-10-01
956.9,8.7,1924-10-01
1088.6,9.1,1925-10-01
1393.2,9.3,1926-10-01
1001.0,9.5,1927-10-01
1104.2,8.1,1928-10-01
1158.8,10.0,1929-10-01
1266.1,8.5,1930-10-01
945.1,8.5,1931-10-01
1209.0,8.6,1932-10-01
899.9,9.1,1933-10-01
1200.5,9.0,1934-10-01
1363.0,9.6,1935-10-01
1226.7,9.2,1936-10-01
1004.0,8.6,1937-10-01
1071.3,8.6,1938-10-01
1466.1,8.2,1939-10-01
950.4,8.2,1940-10-01
1037.1,8.3,1941-10-01
899.6,9.8,1942-10-01
898.1,8.9,1943-10-01
1434.8,9.0,1944-10-01
1066.5,9.4,1945-10-01
785.6,9.7,1946-10-01
1248.3,9.8,1947-10-01
811.8,9.4,1948-10-01
1075.8,10.0,1949-10-01
1268.7,9.2,1950-10-01
1044.4,9.5,1951-10-01
1170.2,8.7,1952-10-01
1165.2,8.5,1953-10-01
1309.5,8.9,1954-10-01
1156.5,8.0,1955-10-01
1056.3,8.5,1956-10-01
1066.1,8.9,1957-10-01
1033.6,9.8,1958-10-01
1220.5,9.3,1959-10-01
1103.8,9.9,1960-10-01
992.0,9.0,1961-10-01
986.6,7.8,1962-10-01
911.3,9.4,1963-10-01
1351.1,8.0,1964-10-01
1154.1,9.2,1965-10-01
1176.5,9.4,1966-10-01
1176.4,8.8,1967-10-01
1113.0,8.8,1968-10-01
1270.3,8.3,1969-10-01
885.6,8.8,1970-10-01
837.9,8.6,1971-10-01
1066.2,8.5,1972-10-01
971.5,9.3,1973-10-01
1270.2,9.1,1974-10-01
989.4,8.7,1975-10-01
1165.9,9.2,1976-10-01
1248.7,8.7,1977-10-01
1025.5,8.4,1978-10-01
1184.2,8.6,1979-10-01
1226.0,8.5,1980-10-01
1195.2,9.3,1981-10-01
1019.5,9.9,1982-10-01
1113.5,8.4,1983-10-01
1036.2,9.0,1984-10-01
1055.6,8.9,1985-10-01
1368.6,8.5,1986-10-01
1023.2,10.1,1987-10-01
1163.4,9.5,1988-10-01
953.0,9.7,1989-10-01
1255.1,9.5,1990-10-01
1121.3,9.4,1991-10-01
1264.9,9.6,1992-10-01
1339.4,10.4,1993-10-01
1399.6,9.7,1994-10-01
1060.4,9.3,1995-10-01
1196.5,9.7,1996-10-01
1070.7,10.3,1997-10-01
1424.8,9.6,1998-10-01
1094.7,10.1,1999-10-01
1371.9,10.5,2000-10-01
1459.9,10.1,2001-10-01
1149.5,11.2,2002-10-01
1219.4,9.8,2003-10-01
1082.5,9.6,2004-10-01
1167.8,9.4,2005-10-01
1205.7,11.0,2006-10-01
1157.6,9.9,2007-10-01
1155.5,10.3,2008-10-01
1273.7,9.8,2009-10-01
879.3,10.7,2010-10-01
1189.9,10.1,2011-10-01
1166.9,9.8,2012-10-01
1134.7,10.7,2013-10-01
1064.3,11.1,2014-10-01
1209.8,10.6,2015-10-01
1104.8,10.5,2016-10-01
1112.3,11.2,2017-10-01
1129.2,10.8,2018-10-01
1238.7,11.3,2019-10-01
1321.6,10.1,2020-10-01
978.1,10.8,2021-10-01
1089.0,11.5,2022-10-01
1414.4,11.8,2023-10-01
1203.7,11.2,2024-10-01
