date,winter total precipitation (mm),winter mean temperature (°C)
1914-10-01,547.7,4.0
1915-10-01,479.5,4.7
1916-10-01,635.3,3.3
1917-10-01,619.8,3.3
1918-10-01,752.5,3.8
1919-10-01,619.5,4.5
1920-10-01,198.7,4.6
1921-10-01,658.9,3.6
1922-10-01,556.0,3.8
1923-10-01,525.0,3.9
1924-10-01,383.3,4.2
1925-10-01,451.7,5.0
1926-10-01,664.2,4.7
1927-10-01,432.8,5.0
1928-10-01,667.6,2.2
1929-10-01,464.2,5.9
1930-10-01,696.0,3.7
1931-10-01,399.2,3.0
1932-10-01,406.1,4.1
1933-10-01,293.5,4.2
1934-10-01,680.5,4.2
1935-10-01,732.5,5.7
1936-10-01,577.3,4.3
1937-10-01,398.3,3.8
1938-10-01,443.5,4.4
1939-10-01,741.4,3.6
1940-10-01,409.0,3.3
1941-10-01,478.1,2.8
1942-10-01,405.5,5.3
1943-10-01,442.4,4.0
1944-10-01,753.0,3.7
1945-10-01,481.0,4.8
1946-10-01,360.2,4.1
1947-10-01,643.8,6.0
1948-10-01,378.0,4.4
1949-10-01,528.0,5.1
1950-10-01,735.2,4.6
1951-10-01,577.3,4.7
1952-10-01,602.0,3.6
1953-10-01,460.2,4.3
1954-10-01,671.2,4.7
1955-10-01,480.2,3.3
1956-10-01,412.8,4.4
1957-10-01,521.2,3.9
1958-10-01,600.2,5.1
1959-10-01,475.5,5.1
1960-10-01,513.8,5.8
1961-10-01,528.9,4.7
1962-10-01,485.0,2.6
1963-10-01,414.0,4.3
1964-10-01,537.3,3.4
1965-10-01,590.8,4.9
1966-10-01,644.6,4.9
1967-10-01,482.1,4.6
1968-10-01,431.6,4.1
1969-10-01,665.3,3.2
1970-10-01,335.7,3.7
1971-10-01,311.3,4.8
1972-10-01,475.7,3.1
1973-10-01,448.6,5.3
1974-10-01,685.3,4.5
1975-10-01,424.9,3.9
1976-10-01,676.3,5.3
1977-10-01,595.8,4.8
1978-10-01,466.7,4.0
1979-10-01,663.8,4.7
1980-10-01,513.2,3.7
1981-10-01,654.0,4.2
1982-10-01,473.4,5.2
1983-10-01,459.3,4.0
1984-10-01,457.9,4.2
1985-10-01,492.8,3.9
1986-10-01,591.2,3.8
1987-10-01,553.0,5.7
1988-10-01,612.6,5.1
1989-10-01,441.5,5.3
1990-10-01,611.1,4.8
1991-10-01,628.5,3.9
1992-10-01,559.2,4.9
1993-10-01,639.9,5.6
1994-10-01,710.8,5.5
1995-10-01,378.2,5.1
1996-10-01,561.4,5.1
1997-10-01,463.7,5.6
1998-10-01,707.1,4.4
1999-10-01,498.6,5.2
2000-10-01,701.7,6.4
2001-10-01,498.7,5.6
2002-10-01,752.3,5.6
2003-10-01,521.6,5.4
2004-10-01,398.0,4.5
2005-10-01,426.1,4.0
2006-10-01,380.7,7.4
2007-10-01,543.2,5.1
2008-10-01,540.6,5.2
2009-10-01,406.5,5.3
2010-10-01,282.9,6.0
2011-10-01,546.2,5.2
2012-10-01,517.9,5.1
2013-10-01,405.7,6.7
2014-10-01,584.9,6.4
2015-10-01,479.3,6.0
2016-10-01,471.0,5.6
2017-10-01,653.2,6.1
2018-10-01,644.7,6.4
2019-10-01,537.6,7.3
2020-10-01,548.9,5.5
2021-10-01,392.4,5.5
2022-10-01,466.1,6.7
2023-10-01,809.2,7.6
2024-10-01,379.4,6.8
