year-month,total precipitation (mm),mean temperature (°C)
1914-10,73.9,3.2
1914-11,42.1,-2.6
1914-12,21.7,-3.4
1915-01,101.3,-7.1
1915-02,40.8,-5.4
1915-03,82.2,-3.1
1915-04,35.4,0.6
1915-05,88.0,8.7
1915-06,86.4,10.9
1915-07,192.9,10.3
1915-08,72.8,9.0
1915-09,107.6,6.2
1915-10,5.4,1.1
1915-11,46.2,-4.2
1915-12,52.2,-1.3
1916-01,116.8,-4.6
1916-02,106.3,-4.5
1916-03,68.3,-1.1
1916-04,57.8,1.8
1916-05,43.1,6.7
1916-06,212.9,7.1
1916-07,118.6,10.1
1916-08,135.5,9.8
1916-09,85.2,5.5
1916-10,103.7,2.7
1916-11,83.9,-1.7
1916-12,114.8,-3.9
1917-01,69.4,-8.6
1917-02,7.6,-7.4
1917-03,22.6,-3.8
1917-04,81.9,-2.0
1917-05,60.9,8.5
1917-06,72.5,11.1
1917-07,130.6,11.0
1917-08,194.5,10.1
1917-09,46.5,9.7
1917-10,138.4,0.6
1917-11,42.3,-3.2
1917-12,32.1,-8.7
1918-01,31.9,-5.5
1918-02,35.7,-5.3
1918-03,36.3,-2.1
1918-04,51.5,2.5
1918-05,18.2,7.5
1918-06,118.0,6.7
1918-07,80.1,10.6
1918-08,110.5,9.8
1918-09,130.3,8.3
1918-10,49.5,2.3
1918-11,23.6,-1.2
1918-12,227.2,-3.4
1919-01,41.6,-6.9
1919-02,40.5,-6.6
1919-03,31.5,-2.6
1919-04,91.4,-0.8
1919-05,61.4,4.3
1919-06,125.2,8.9
1919-07,138.6,7.8
1919-08,65.5,12.0
1919-09,57.5,9.1
1919-10,46.3,-0.5
1919-11,113.3,-4.1
1919-12,155.6,-5.5
1920-01,131.2,-3.6
1920-02,26.9,-4.2
1920-03,48.2,-0.6
1920-04,65.1,2.1
1920-05,102.4,8.7
1920-06,75.7,9.0
1920-07,210.8,10.7
1920-08,82.7,8.7
1920-09,203.9,7.7
1920-10,2.3,4.4
1920-11,0.4,0.0
1920-12,27.3,-5.1
1921-01,107.6,-3.1
1921-02,7.3,-6.3
1921-03,17.1,-1.2
1921-04,62.1,0.5
1921-05,80.2,7.7
1921-06,138.5,8.7
1921-07,44.8,12.6
1921-08,93.8,10.7
1921-09,71.8,9.3
1921-10,43.8,5.5
1921-11,61.4,-3.6
1921-12,29.1,-4.1
1922-01,157.1,-7.3
1922-02,60.3,-5.0
1922-03,50.6,-1.2
1922-04,69.5,0.2
1922-05,60.7,7.1
1922-06,121.5,9.5
1922-07,191.2,9.3
1922-08,104.3,10.5
1922-09,129.7,5.2
1922-10,64.3,2.6
1922-11,99.2,-4.4
1922-12,96.2,-6.2
1923-01,53.4,-7.1
1923-02,62.0,-3.3
1923-03,12.8,-2.1
1923-04,54.0,1.4
1923-05,72.6,6.4
1923-06,88.4,5.4
1923-07,77.0,12.9
1923-08,96.2,11.6
1923-09,90.3,6.7
1923-10,87.6,4.9
1923-11,53.8,-1.0
1923-12,179.6,-6.1
1924-01,26.4,-7.7
1924-02,50.2,-8.2
1924-03,7.2,-2.8
1924-04,61.0,1.6
1924-05,84.1,7.2
1924-06,180.2,8.6
1924-07,164.8,10.8
1924-08,157.7,7.6
1924-09,93.8,7.7
1924-10,31.0,3.8
1924-11,5.3,-0.3
1924-12,24.9,-4.4
1925-01,18.5,-4.1
1925-02,55.1,-4.0
1925-03,29.9,-4.9
1925-04,51.7,1.6
1925-05,35.7,6.5
1925-06,50.7,10.0
1925-07,129.5,10.2
1925-08,215.0,9.7
1925-09,66.4,5.2
1925-10,29.8,3.8
1925-11,38.4,-2.4
1925-12,89.0,-6.4
1926-01,37.5,-5.8
1926-02,45.2,-0.5
1926-03,112.6,-1.3
1926-04,64.8,2.6
1926-05,144.4,4.3
1926-06,213.0,6.1
1926-07,166.8,9.5
1926-08,56.9,10.7
1926-09,25.3,9.5
1926-10,96.0,3.5
1926-11,71.2,1.8
1926-12,64.1,-6.0
1927-01,84.7,-5.8
1927-02,36.3,-5.7
1927-03,67.4,-1.8
1927-04,76.9,1.4
1927-05,52.4,6.8
1927-06,114.5,9.3
1927-07,158.8,10.7
1927-08,155.0,10.1
1927-09,170.2,7.5
1927-10,21.9,3.3
1927-11,77.9,0.1
1927-12,29.7,-3.7
1928-01,45.3,-5.1
1928-02,95.3,-4.2
1928-03,18.7,-0.8
1928-04,79.2,2.0
1928-05,96.9,3.8
1928-06,84.5,9.4
1928-07,97.1,13.8
1928-08,212.0,11.5
1928-09,60.9,7.7
1928-10,142.7,3.8
1928-11,128.5,-0.4
1928-12,53.4,-7.0
1929-01,30.1,-10.4
1929-02,10.2,-10.6
1929-03,15.6,-2.2
1929-04,45.6,-0.4
1929-05,45.1,6.8
1929-06,100.5,9.9
1929-07,105.4,11.9
1929-08,189.5,10.5
1929-09,40.0,9.8
1929-10,52.8,4.1
1929-11,29.5,-0.5
1929-12,88.8,-3.4
1930-01,20.5,-3.6
1930-02,1.1,-6.4
1930-03,40.3,-0.5
1930-04,42.7,2.5
1930-05,105.0,5.1
1930-06,83.1,11.7
1930-07,143.8,10.0
1930-08,184.4,10.1
1930-09,126.9,8.1
1930-10,80.9,2.9
1930-11,39.3,0.7
1930-12,38.1,-5.2
1931-01,106.3,-8.1
1931-02,67.4,-7.4
1931-03,57.6,-3.4
1931-04,37.0,0.3
1931-05,83.4,7.9
1931-06,109.1,11.5
1931-07,200.5,10.6
1931-08,216.6,9.1
1931-09,96.1,3.8
1931-10,39.5,3.0
1931-11,20.5,0.7
1931-12,43.3,-7.1
1932-01,87.0,-5.2
1932-02,3.7,-10.6
1932-03,53.0,-3.5
1932-04,66.0,0.1
