date,summer total precipitation (mm),summer mean temperature (°C)
1915-05-01,547.7,9.0
1916-05-01,595.3,7.9
1917-05-01,505.0,10.1
1918-05-01,457.1,8.6
1919-05-01,448.2,8.4
1920-05-01,675.5,9.0
1921-05-01,429.1,9.8
1922-05-01,607.4,8.3
1923-05-01,424.5,8.6
1924-05-01,680.6,8.4
1925-05-01,497.3,8.3
1926-05-01,606.4,8.0
1927-05-01,650.9,8.9
1928-05-01,551.4,9.2
1929-05-01,480.5,9.8
1930-05-01,643.2,9.0
1931-05-01,705.7,8.6
1932-05-01,492.3,9.5
1933-05-01,586.1,8.5
1934-05-01,622.7,9.5
1935-05-01,473.6,8.9
1936-05-01,529.8,8.6
1937-05-01,574.2,9.2
1938-05-01,547.0,8.8
1939-05-01,562.0,8.2
1940-05-01,580.6,8.0
1941-05-01,510.6,8.2
1942-05-01,570.6,9.3
1943-05-01,551.1,9.5
1944-05-01,467.2,9.3
1945-05-01,450.5,9.9
1946-05-01,579.1,9.6
1947-05-01,521.1,10.9
1948-05-01,605.1,8.6
1949-05-01,419.1,9.8
1950-05-01,561.9,10.1
1951-05-01,496.2,9.3
1952-05-01,530.8,9.4
1953-05-01,540.4,9.0
1954-05-01,716.2,7.8
1955-05-01,496.1,8.1
1956-05-01,623.6,8.4
1957-05-01,619.8,8.1
1958-05-01,554.1,9.9
1959-05-01,350.2,9.4
1960-05-01,746.3,8.7
1961-05-01,420.4,9.3
1962-05-01,378.4,8.4
1963-05-01,567.6,8.9
1964-05-01,405.3,9.7
1965-05-01,736.0,7.9
1966-05-01,645.3,8.6
1967-05-01,572.1,8.9
1968-05-01,527.7,8.3
1969-05-01,583.9,9.4
1970-05-01,595.0,9.1
1971-05-01,462.3,9.6
1972-05-01,469.7,7.8
1973-05-01,564.2,9.9
1974-05-01,632.3,8.5
1975-05-01,561.6,9.4
1976-05-01,659.8,8.8
1977-05-01,551.3,8.5
1978-05-01,635.0,7.9
1979-05-01,656.2,8.5
1980-05-01,535.1,8.5
1981-05-01,635.6,9.3
1982-05-01,631.2,10.0
1983-05-01,608.3,9.9
1984-05-01,579.1,8.2
1985-05-01,597.9,9.6
1986-05-01,488.6,10.0
1987-05-01,815.5,9.2
1988-05-01,566.1,9.8
1989-05-01,424.6,9.5
1990-05-01,523.7,9.8
1991-05-01,479.8,9.8
1992-05-01,419.8,10.8
1993-05-01,598.8,9.9
1994-05-01,682.2,10.9
1995-05-01,649.6,9.2
1996-05-01,610.0,9.1
1997-05-01,591.4,10.2
1998-05-01,554.5,10.4
1999-05-01,714.6,10.6
2000-05-01,634.7,10.5
2001-05-01,779.9,9.9
2002-05-01,646.2,10.1
2003-05-01,460.0,12.3
2004-05-01,559.6,9.8
2005-05-01,563.2,10.3
2006-05-01,451.3,11.2
2007-05-01,632.6,9.9
2008-05-01,643.6,10.3
2009-05-01,495.0,11.2
2010-05-01,683.7,9.8
2011-05-01,661.8,10.8
2012-05-01,646.5,11.1
2013-05-01,538.2,10.4
2014-05-01,600.9,9.8
2015-05-01,527.6,11.5
2016-05-01,746.8,10.6
2017-05-01,696.3,11.1
2018-05-01,399.3,12.1
2019-05-01,615.6,11.1
2020-05-01,604.5,10.9
2021-05-01,533.8,10.5
2022-05-01,491.4,12.1
2023-05-01,595.9,12.2
2024-05-01,579.0,11.6
2025-05-01,714.9,11.3
