hy total precipitation (mm),hy_mean_temperature_c,date
523.6,8.5,1914-10-01
565.3,8.4,1915-10-01
514.9,8.2,1916-10-01
543.7,8.2,1917-10-01
622.7,8.6,1918-10-01
615.8,9.3,1919-10-01
222.4,10.0,1920-10-01
714.7,8.5,1921-10-01
486.6,8.4,1922-10-01
679.2,8.5,1923-10-01
404.4,8.8,1924-10-01
686.8,8.9,1925-10-01
702.1,8.9,1926-10-01
495.5,9.5,1927-10-01
585.4,8.3,1928-10-01
570.7,9.6,1929-10-01
752.6,8.3,1930-10-01
491.6,8.5,1931-10-01
445.3,9.3,1932-10-01
412.1,9.0,1933-10-01
622.7,9.1,1934-10-01
726.9,9.3,1935-10-01
558.3,9.4,1936-10-01
459.8,9.0,1937-10-01
445.4,9.0,1938-10-01
711.2,8.7,1939-10-01
523.5,8.1,1940-10-01
436.3,8.6,1941-10-01
444.5,10.0,1942-10-01
389.1,9.1,1943-10-01
831.2,9.0,1944-10-01
614.4,9.4,1945-10-01
444.1,9.9,1946-10-01
574.0,9.9,1947-10-01
367.0,9.8,1948-10-01
510.6,10.1,1949-10-01
663.6,9.0,1950-10-01
542.8,9.6,1951-10-01
703.5,8.7,1952-10-01
520.7,8.9,1953-10-01
795.3,9.2,1954-10-01
534.4,8.2,1955-10-01
547.4,8.9,1956-10-01
565.3,9.1,1957-10-01
521.1,10.1,1958-10-01
654.2,9.5,1959-10-01
541.9,10.0,1960-10-01
608.9,9.2,1961-10-01
548.1,8.1,1962-10-01
433.7,9.5,1963-10-01
679.9,8.1,1964-10-01
687.1,9.4,1965-10-01
620.3,9.5,1966-10-01
584.1,9.2,1967-10-01
596.3,9.3,1968-10-01
688.3,8.8,1969-10-01
491.5,9.3,1970-10-01
367.4,9.1,1971-10-01
573.9,9.0,1972-10-01
588.0,9.5,1973-10-01
613.5,9.3,1974-10-01
343.6,9.2,1975-10-01
711.3,9.2,1976-10-01
699.4,8.7,1977-10-01
564.4,8.5,1978-10-01
732.9,8.7,1979-10-01
576.5,8.8,1980-10-01
642.4,9.6,1981-10-01
666.1,9.9,1982-10-01
562.9,8.5,1983-10-01
624.2,9.1,1984-10-01
588.4,9.3,1985-10-01
600.8,9.1,1986-10-01
587.0,10.4,1987-10-01
530.5,10.1,1988-10-01
811.3,10.2,1989-10-01
579.1,10.1,1990-10-01
499.1,9.8,1991-10-01
788.4,10.3,1992-10-01
712.2,10.8,1993-10-01
822.4,10.3,1994-10-01
429.1,10.2,1995-10-01
658.9,10.5,1996-10-01
473.3,10.7,1997-10-01
757.5,10.0,1998-10-01
502.3,10.3,1999-10-01
789.3,10.8,2000-10-01
492.9,10.5,2001-10-01
561.6,11.6,2002-10-01
476.1,10.6,2003-10-01
507.9,10.0,2004-10-01
598.7,10.0,2005-10-01
744.7,11.4,2006-10-01
488.8,10.6,2007-10-01
517.6,10.5,2008-10-01
544.7,10.4,2009-10-01
394.1,11.0,2010-10-01
582.8,10.7,2011-10-01
633.4,10.3,2012-10-01
593.6,11.0,2013-10-01
540.4,11.7,2014-10-01
554.3,11.2,2015-10-01
503.4,11.1,2016-10-01
646.7,11.6,2017-10-01
530.4,11.6,2018-10-01
672.7,11.9,2019-10-01
663.5,10.6,2020-10-01
403.5,11.4,2021-10-01
689.7,12.0,2022-10-01
787.5,11.9,2023-10-01
617.2,11.8,2024-10-01
