date,winter total precipitation (mm),winter mean temperature (°C)
1914-10-01,310.3,3.3
1915-10-01,354.9,3.8
1916-10-01,268.5,2.1
1917-10-01,272.6,2.7
1918-10-01,498.3,3.0
1919-10-01,395.4,4.1
1920-10-01,71.7,4.6
1921-10-01,431.5,3.4
1922-10-01,308.9,2.9
1923-10-01,432.3,3.5
1924-10-01,201.1,4.0
1925-10-01,410.6,4.2
1926-10-01,338.7,3.9
1927-10-01,265.7,4.3
1928-10-01,328.8,2.1
1929-10-01,275.4,5.0
1930-10-01,499.7,3.1
1931-10-01,250.7,2.8
1932-10-01,209.1,4.2
1933-10-01,206.1,3.1
1934-10-01,394.8,3.6
1935-10-01,482.4,4.6
1936-10-01,376.2,3.9
1937-10-01,199.9,3.6
1938-10-01,235.9,4.2
1939-10-01,441.9,3.5
1940-10-01,338.0,2.7
1941-10-01,221.4,2.5
1942-10-01,258.7,4.7
1943-10-01,193.9,3.5
1944-10-01,601.1,2.8
1945-10-01,270.8,4.4
1946-10-01,291.8,3.5
1947-10-01,305.0,5.6
1948-10-01,154.0,4.4
1949-10-01,294.6,4.5
1950-10-01,440.1,3.7
1951-10-01,317.6,4.1
1952-10-01,471.1,2.8
1953-10-01,231.2,3.9
1954-10-01,558.2,4.4
1955-10-01,215.2,2.7
1956-10-01,287.7,4.0
1957-10-01,287.4,3.3
1958-10-01,309.8,4.7
1959-10-01,323.2,4.8
1960-10-01,353.5,5.1
1961-10-01,486.5,3.7
1962-10-01,312.2,2.2
1963-10-01,222.3,3.9
1964-10-01,298.2,3.0
1965-10-01,523.0,4.3
1966-10-01,381.5,4.4
1967-10-01,304.3,4.4
1968-10-01,317.3,4.1
1969-10-01,488.2,2.9
1970-10-01,230.7,3.8
1971-10-01,233.3,4.6
1972-10-01,306.4,3.2
1973-10-01,259.6,4.8
1974-10-01,420.6,4.0
1975-10-01,173.3,3.6
1976-10-01,512.1,4.6
1977-10-01,472.8,4.1
1978-10-01,366.8,3.2
1979-10-01,478.0,4.0
1980-10-01,365.0,3.5
1981-10-01,424.2,4.2
1982-10-01,405.6,4.6
1983-10-01,340.0,3.5
1984-10-01,303.4,3.7
1985-10-01,330.6,3.6
1986-10-01,311.0,3.9
1987-10-01,404.0,5.4
1988-10-01,372.5,4.7
1989-10-01,469.4,5.0
1990-10-01,379.3,4.6
1991-10-01,271.7,4.0
1992-10-01,490.6,5.0
1993-10-01,366.7,5.7
1994-10-01,520.3,5.5
1995-10-01,199.4,5.5
1996-10-01,348.5,5.5
1997-10-01,275.3,5.5
1998-10-01,383.7,4.2
1999-10-01,303.4,4.7
2000-10-01,504.9,6.0
2001-10-01,183.8,5.4
2002-10-01,340.1,5.7
2003-10-01,257.0,5.4
2004-10-01,251.1,4.1
2005-10-01,362.7,3.8
2006-10-01,271.5,7.2
2007-10-01,257.2,5.2
2008-10-01,333.5,4.6
2009-10-01,262.9,5.1
2010-10-01,171.1,5.7
2011-10-01,331.4,5.2
2012-10-01,400.4,5.1
2013-10-01,334.1,6.3
2014-10-01,264.9,6.5
2015-10-01,347.4,6.0
2016-10-01,260.7,5.4
2017-10-01,456.4,5.6
2018-10-01,263.5,6.3
2019-10-01,423.0,7.0
2020-10-01,287.4,5.7
2021-10-01,208.9,5.1
2022-10-01,457.9,6.4
2023-10-01,508.2,7.2
2024-10-01,371.5,6.5
